family,MAE,MSE,RMSE
BEAUTY,3.524,26.717,5.169
BEVERAGES,1441.531,4616627.801,2148.634
BREAD/BAKERY,270.864,130389.475,361.095
CLEANING,445.531,400698.381,633.007
DAIRY,444.819,416453.657,645.332
DELI,136.269,34005.661,184.406
EGGS,120.203,31123.843,176.42
FROZEN FOODS,103.125,67279.67,259.383
GROCERY I,1683.797,6795949.54,2606.904
GROCERY II,18.576,1199.928,34.64
HOME AND KITCHEN I,21.435,1819.764,42.659
HOME AND KITCHEN II,20.158,1586.826,39.835
LAWN AND GARDEN,9.938,253.654,15.927
LINGERIE,5.846,130.731,11.434
"LIQUOR,WINE,BEER",67.99,15220.767,123.372
MEATS,207.055,310519.596,557.243
PERSONAL CARE,133.54,39412.394,198.526
POULTRY,245.386,153211.961,391.423
PREPARED FOODS,64.018,9904.734,99.523
PRODUCE,1544.864,5570640.608,2360.22
SEAFOOD,23.185,1188.272,34.471
AUTOMOTIVE,4.246,36.995,6.082
HARDWARE,1.412,4.253,2.062
HOME APPLIANCES,0.959,1.843,1.358
MAGAZINES,5.726,68.436,8.273
HOME CARE,115.238,26322.082,162.241
PET SUPPLIES,6.354,88.92,9.43
CELEBRATION,9.751,250.855,15.838
LADIESWEAR,11.34,258.408,16.075
PLAYERS AND ELECTRONICS,7.07,122.453,11.066
SCHOOL AND OFFICE SUPPLIES,13.083,1729.836,41.591
BABY CARE,1.274,10.628,3.26
BOOKS,1.462,6.393,2.528
